branch	base	minus	plus	patches_unique_to_branch
candidate/deployment-preflight-rendered-units-20260918	origin/main	18	1	1
candidate/deployment-preflight-rendered-units-20260918	origin/integration/lucyos-autonomous-wave-20260919	41	1	1
candidate/dev-msos-20260917	origin/main	23	0	0
candidate/dev-msos-20260917	origin/integration/lucyos-autonomous-wave-20260919	46	0	0
candidate/dev-msos-governed-20260918	origin/main	18	0	0
candidate/dev-msos-governed-20260918	origin/integration/lucyos-autonomous-wave-20260919	41	0	0
candidate/scs-admin01-handoff-20260918	origin/main	18	2	1
candidate/scs-admin01-handoff-20260918	origin/integration/lucyos-autonomous-wave-20260919	41	2	2
candidate/security-redaction-s08-20260918	origin/main	18	1	1
candidate/security-redaction-s08-20260918	origin/integration/lucyos-autonomous-wave-20260919	41	1	1
feature/little-lucy-nebula-prep-20260920	origin/main	18	23	23
feature/little-lucy-nebula-prep-20260920	origin/integration/lucyos-autonomous-wave-20260919	30	12	12
feature/lucyos-aion-handoff	origin/main	191	1	1
feature/lucyos-aion-handoff	origin/integration/lucyos-autonomous-wave-20260919	214	1	1
feature/resource-governor	origin/main	154	2	2
feature/resource-governor	origin/integration/lucyos-autonomous-wave-20260919	177	2	2
main	origin/main	191	0	0
main	origin/integration/lucyos-autonomous-wave-20260919	214	0	0
owner/dev-msos-governance-20260918	origin/main	48	0	0
owner/dev-msos-governance-20260918	origin/integration/lucyos-autonomous-wave-20260919	71	0	0
owner/security-redaction-hardening-20260918	origin/main	18	1	1
owner/security-redaction-hardening-20260918	origin/integration/lucyos-autonomous-wave-20260919	41	1	1
owner/security-redaction-hardening-v10-20260918	origin/main	18	1	1
owner/security-redaction-hardening-v10-20260918	origin/integration/lucyos-autonomous-wave-20260919	41	1	1
repair/resource-governor-hermetic-openclaw-20260917	origin/main	154	4	4
repair/resource-governor-hermetic-openclaw-20260917	origin/integration/lucyos-autonomous-wave-20260919	177	4	4
repair/scg-device-key-cli-20260920	origin/main	18	35	35
repair/scg-device-key-cli-20260920	origin/integration/lucyos-autonomous-wave-20260919	6	0	0
repair/security-private-key-redaction-20260918	origin/main	18	7	7
repair/security-private-key-redaction-20260918	origin/integration/lucyos-autonomous-wave-20260919	41	7	7
research/codebase-reduction-20260918	origin/main	18	11	11
research/codebase-reduction-20260918	origin/integration/lucyos-autonomous-wave-20260919	30	0	0
task/S-41-complexity-map	origin/main	18	1	1
task/S-41-complexity-map	origin/integration/lucyos-autonomous-wave-20260919	41	1	0
task/S-42-duplication-scan	origin/main	18	1	1
task/S-42-duplication-scan	origin/integration/lucyos-autonomous-wave-20260919	41	1	0
task/S-43-context-profiler	origin/main	18	1	1
task/S-43-context-profiler	origin/integration/lucyos-autonomous-wave-20260919	41	1	0
task/S-44-module-manifests	origin/main	18	8	8
task/S-44-module-manifests	origin/integration/lucyos-autonomous-wave-20260919	34	1	0
task/S-45-context-module	origin/main	18	2	2
task/S-45-context-module	origin/integration/lucyos-autonomous-wave-20260919	41	2	0
task/S-47-aion-verify	origin/main	16	0	0
task/S-47-aion-verify	origin/integration/lucyos-autonomous-wave-20260919	41	2	2
task/S-47-verify	origin/main	18	12	12
task/S-47-verify	origin/integration/lucyos-autonomous-wave-20260919	30	1	0
task/S-49-hermetic	origin/main	18	12	12
task/S-49-hermetic	origin/integration/lucyos-autonomous-wave-20260919	30	1	0
task/S-49-hermetic-tests	origin/main	17	0	0
task/S-49-hermetic-tests	origin/integration/lucyos-autonomous-wave-20260919	41	1	1
task/lucy-progress-supervisor	origin/main	18	13	13
task/lucy-progress-supervisor	origin/integration/lucyos-autonomous-wave-20260919	30	2	2
